Week 01,1044700,1364800,1639700,1498200,2099800,1932400,2043700,2140800,2174000
Week 02,1092900,1216500,1646800,1447800,2019500,1885200,2026400,2163800,2135400
Week 03,1023600,1106300,1624100,1431300,1923200,1823700,1977200,2276400,2134100
Week 04,963400,999600,1609200,1413500,1847200,1772300,1904300,2291800,2074700
Week 05,984500,934900,1614500,1406200,1784600,1746000,1857500,2270200,2020500
Week 06,990400,914300,1611100,1400200,1810500,1804300,1822000,2238200,2037300
Week 07,1063800,891100,1613700,1403300,1790000,1770600,1801400,2236700,2068200
Week 08,1131300,885300,1593100,1387900,1753000,1753000,1782900,2301900,2032200
Week 09,1161200,917700,1478700,1393500,1718200,1744600,1730200,2320100,2007800
Week 10,1193600,960000,1471300,1422200,1744300,1708600,1647700,2313600,1991000
Week 11,1178400,974300,1604600,1477600,1800600,1708900,1564500,2321300,1987400
Week 12,1176600,1037900,1595200,1535000,1815500,1692900,1517500,2350500,1971800
Week 13,1214100,1098400,1602100,1588900,1840300,1741100,1578500,2368500,1995900
Week 14,1318400,1099200,1754500,1645300,1817200,1755000,1678900,2377000,2083900
Week 15,1503200,1093900,2023200,1747700,1808700,1783000,1781200,2379700,2177300
Week 16,1639500,1071100,2237400,1800300,1802200,1840600,1857900,2439900,2240600
Week 17,1697900,1186800,2356400,1882700,1817800,1962400,2066600,2517400,2310800
Week 18,1760200,1425800,2409700,2058400,1848300,2183500,2228600,2599300,-
Week 19,1856000,1603900,2409900,2252400,1896000,2339300,2385500,2640400,-
Week 20,1995700,1732100,2419900,2358000,1972200,2459800,2489700,2733100,-
Week 21,2162300,1810200,2419800,2623900,2057000,2564400,2516900,2754700,-
Week 22,2328600,1849600,2363700,2750100,2113400,2612000,2556600,2748800,-
Week 23,2441200,1895200,2344400,2825300,2155100,2640100,2544500,2711000,-
Week 24,2566700,1895200,2407100,2826000,2241100,2723500,2527200,2734700,-
Week 25,2593800,1932200,2530000,2819100,2437500,2746600,2440900,2720100,-
Week 26,2614700,1884700,2721000,2826500,2650900,2805400,2336200,2697600,-
Week 27,2621300,1903800,2803400,2771600,2701700,2789900,2301000,2706200,-
Week 28,2624000,1903000,2828100,2734200,2739700,2756100,2237600,2689300,-
Week 29,2641200,1848000,2827700,2708400,2769800,2776200,2138000,2664800,-
Week 30,2603400,1854400,2832900,2663500,2849800,2743300,2037300,2632500,-
Week 31,2612300,1811600,2839600,2660000,2844100,2716800,1958500,2637800,-
Week 32,2597000,1852200,2815800,2664000,2795200,2686900,1930400,2636900,-
Week 33,2565100,1859100,2774000,2648200,2762900,2643900,1898900,2607800,-
Week 34,2513800,1862500,2699500,2625300,2744100,2605100,1884900,2562000,-
Week 35,2429400,1833500,2645400,2586000,2718400,2604000,1959900,2543200,-
Week 36,2351300,1839500,2589700,2556500,2671500,2585700,2017400,2535000,-
Week 37,2270200,1823600,2520900,2525500,2644000,2538000,2030200,2524300,-
Week 38,2223300,1808300,2436600,2478200,2575200,2473000,2098800,2509100,-
Week 39,2172600,1783900,2348500,2426500,2497900,2430800,2167800,2504900,-
Week 40,2067600,1752300,2258500,2385800,2488400,2366100,2238000,2453300,-
Week 41,2022500,1714900,2185900,2331500,2494900,2302800,2222800,2394700,-
Week 42,1984800,1661200,2082300,2291100,2519500,2258900,2144500,2319900,-
Week 43,1938300,1670000,2019200,2240800,2482300,2195600,2051000,2264600,-
Week 44,1886300,1656600,1965700,2186700,2461500,2148400,2004400,2245500,-
Week 45,1905300,1627300,1904000,2179400,2436000,2133700,1945300,2240600,-
Week 46,1943300,1640600,1811400,2190300,2367700,2080800,1903600,2252400,-
Week 47,1919800,1592800,1728600,2203800,2300100,2021600,1939300,2221900,-
Week 48,1859900,1586700,1698200,2190600,2186200,1977100,1948900,2259700,-
Week 49,1780500,1583800,1651400,2137500,2097700,1970300,1955600,2232800,-
Week 50,1664900,1613700,1598400,2110400,2024500,1962600,2043200,2229800,-
Week 51,1538600,1609600,1540200,2087200,1942000,1945000,2088500,2191800,-
Week 52,1458800,1620400,1517400,2122800,1902900,1980300,2120800,2191200,-
Week 53,,,,,1917400,,,,
