Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Production Type,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW]
Hydro Water Reservoir,15956,15917,15945,15949,16301,16318,16334,16300,16300,16300,16400
Other,8009,8376,8035,7870,8439,8827,7977,8400,9000,6600,6700
Other renewable,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Oil shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,9528,8890,9076,8603,8586,7710,6871,6900,6900,6900,6900
Fossil Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Coal-derived gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Solar,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3200,5000
Hydro Pumped Storage,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Hard coal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Oil,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind Onshore,3500,5493,5960,6247,7506,9648,10017,12100,14700,16700,18000
Wind Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Brown coal/Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Biomass,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro Run-of-river and poundage,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Total Grand capacity,36993,38676,39016,38669,40832,42503,41199,43700,46900,49700,53000
