Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Production Type,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW]
Fossil Peat,0,0,0,0,0,n/e,0,0,n/e,n/e
Nuclear,696,696,696,696,696,696,696,696,696,696
Fossil Hard coal,0,0,0,0,0,n/e,0,0,n/e,n/e
Wind Onshore,3,3,3,3,3,3,3,3,2,3
Fossil Brown coal/Lignite,1228,921,924,924,924,967,981,981,1191,1191
Geothermal,0,0,0,0,0,n/e,0,0,n/e,n/e
Hydro Run-of-river and poundage,1053,1053,1053,1053,1053,1111,1125,1125,1129,1125
Hydro Water Reservoir,0,0,0,0,0,n/e,0,0,n/e,n/e
Wind Offshore,0,0,0,0,0,n/e,0,0,n/e,n/e
Hydro Pumped Storage,180,180,180,180,180,180,180,180,180,180
Other renewable,1,0,0,1,1,n/e,0,0,n/e,n/e
Solar,262,263,266,275,275,278,459,459,702,1110
Fossil Oil shale,0,0,0,0,0,n/e,0,0,n/e,n/e
Waste,35,40,40,40,40,38,4,4,33,6
Fossil Gas,490,491,491,491,491,546,548,548,618,756
Fossil Coal-derived gas,0,0,0,0,0,n/e,0,0,n/e,n/e
Fossil Oil,0,0,58,58,58,58,0,0,58,58
Marine,0,0,0,0,0,n/e,0,0,n/e,n/e
Other,0,0,0,0,0,n/e,0,0,n/e,n/e
Biomass,16,17,17,17,17,23,16,16,14,43
Total Grand capacity,3964,3664,3728,3738,3738,3900,4012,4012,4623,5168
