Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Production Type,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW]
Fossil Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Hard coal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind Onshore,282,366,426,509,525,534,540,671,814,1288
Fossil Brown coal/Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro Run-of-river and poundage,128,128,128,128,128,128,128,128,128,129
Hydro Water Reservoir,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro Pumped Storage,900,900,900,900,900,900,900,900,900,900
Other renewable,67,,84,0,0,0,0,0,0,0
Solar,68,69,80,82,82,103,169,259,578,1165
Fossil Oil shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,31,21,21,22,21,22,48,70,70,70
Fossil Gas,2651,1719,1656,1873,1710,1770,1887,1527,1518,1503
Fossil Coal-derived gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Oil,160,160,160,0,0,0,0,0,0,0
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,150,35,35,37,140,144,37,37,37,37
Biomass,29,65,101,102,96,98,99,95,99,196
Total Grand capacity,4466,3463,3591,3653,3602,3699,3808,3687,4144,5288
