Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,Kvilldal,1240.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,3.9130434783,3.9130434783,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,382977.14,,,,,,,,,,,
,Tonstad,960.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,73839.88,,,,,,,,,,,
,Aurland1,840.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,402356.0,,,,,,,,,,,
,Svartisen,720.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,1686548.1517160684,,,,,,,,,,,
,Sy-Sima,720.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,1686548.1517160684,,,,,,,,,,,
,Saurdal,640.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,3192912.0000000005,,,,,,,,,,,
,Lang Sima,580.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.1645338208,0.1645338208,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,1358608.233326833,,,,,,,,,,,
,Rana,500.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.18,0.18,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,2447400.0,,,,,,,,,,,
,Tokke,433.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.2137767221,0.2137767221,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,1014271.3190181357,,,,,,,,,,,
,Naturkraft CCPP,420.0,1.0,NO,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,,,,,,,
,Holen,415.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.2142857143,0.2142857143,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,972107.615225234,,,,,,,,,,,
,Tyin,390.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.234375,0.234375,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,913546.9155128705,,,,,,,,,,,
,Brokke,379.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.234375,0.234375,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,887780.2076394305,,,,,,,,,,,
,Lysebotn 2,370.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.2459016393,0.2459016393,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,952428.0,,,,,,,,,,,
,Nedre Rossaga,260.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3488372093,0.3488372093,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,609031.2770085803,,,,,,,,,,,
,Nedre Vinstra,344.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.2608695652,0.2608695652,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,805795.2280421216,,,,,,,,,,,
,Evanger,330.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.2686567164,0.2686567164,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,565728.0,,,,,,,,,,,
,EVM,328.0,1.0,NO,,,COMC,GAS,0.57,2.0,4.0,0.03,0.03,,0.0,0.0,0.36,0.57,1.0,0.42,,,,,,,,,,,,,,,,,,,,
,Vinje,309.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.2941176471,0.2941176471,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,723810.2484448128,,,,,,,,,,,
,Kobbelv,300.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.303030303,0.303030303,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,154828.8,,,,,,,,,,,
,Skjomen,300.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.303030303,0.303030303,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,154828.8,,,,,,,,,,,
,Jostedal,290.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3157894737,0.3157894737,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,81421.5,,,,,,,,,,,
,Aurland3,290.0,1.0,NO,,,HPHS,WAT,0.86,0.0,0.0,1.0380622837,1.0380622837,0.0,,0.0,0.0,0.86,0.3,0.0,,,,,,,,,81421.5,,,,,,,,,,,
,Aura,283.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3157894737,0.3157894737,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,662907.1207439548,,,,,,,,,,,
,Sonna,275.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3157894737,0.3157894737,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,644167.6968359984,,,,,,,,,,,
,Fortun,270.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3488372093,0.3488372093,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,420224.0,,,,,,,,,,,
,Nes OEK,260.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3488372093,0.3488372093,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,609031.2770085803,,,,,,,,,,,
,Mauranger,256.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3488372093,0.3488372093,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,599661.5650546022,,,,,,,,,,,
,Blafal.V,240.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.375,0.375,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,562182.7172386895,,,,,,,,,,,
,F.K.F,230.0,1.0,NO,,,HROR,WAT,1.0,0.0,0.0,0.9282700422,0.9282700422,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,Hol 1,230.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3982300885,0.3982300885,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,21011.2,,,,,,,,,,,
,Melkoya,230.0,1.0,NO,,,COMC,GAS,0.525,5.0,1.0,0.0485652174,0.0485652174,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Lysebotn,228.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3982300885,0.3982300885,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,534073.581376755,,,,,,,,,,,
,Nea,222.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.3982300885,0.3982300885,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,520019.01344578783,,,,,,,,,,,
,Tysso 2,220.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.4205607477,0.4205607477,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,515334.1574687987,,,,,,,,,,,
,Oksla,220.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.4205607477,0.4205607477,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,515334.1574687987,,,,,,,,,,,
,RKA Nyhamna,215.0,1.0,NO,,,COMC,GAS,0.525,5.0,1.0,0.0514746544,0.0514746544,112542.12,,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,Vamma,213.0,1.0,NO,,,HROR,WAT,1.0,0.0,0.0,1.0476190476,1.0476190476,0.0,,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,Borgund,212.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.4205607477,0.4205607477,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,157094.10000000003,,,,,,,,,,,
,Nore 1,206.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.45,0.45,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,279840.00000000006,,,,,,,,,,,
,Vemork,204.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.45,0.45,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,1047.1999999999998,,,,,,,,,,,
,Solhom,200.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.45,0.45,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,777000.0000000001,,,,,,,,,,,
,Duge,200.0,1.0,NO,,,HPHS,WAT,0.8,0.0,0.0,0.0666666666666667,0.0666666666666667,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,777000.0000000001,,,,,,,,,,,
,Saheim,187.0,1.0,NO,,,HDAM,WAT,0.85,0.0,0.0,0.4812834225,0.4812834225,0.0,,0.0,0.0,0.85,0.3,0.0,,,,,,,,,438034.0338484789,,,,,,,,,,,
