,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Paksi Atomerőmű,1916.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SINERGYR,680.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ewiser szabályozó központ,374.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BÖRZE szabályozási központ,342.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MVMZGuz,259.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MECSPVuz,234.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BUZSPVuz,61.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VLTRCK1uz,51.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposvár Keleti naperőmű,49.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposvár Nyugati naperőmű,49.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPUSPV,47.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VPPPV szabályozó központ,36.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bükkábrányi naperőmű,20.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MVMZG2uz,20.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NYPAZPVuz,20.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUGRPVuz,20.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUNAPVSZK,17.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tüskésréti Naperőmű (Pécs),10.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Győri AUDI naperőmű,10.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOL DUFI naperőmű,6.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOL Tiszaújváros MPK naperőmű,6.0,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SARFPV1uz,,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SARFPV2uz,,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AJKAPV,,1.0,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tiszai Erőmű,,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oroszlányi Erőmű,,1.0,HU,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
