Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
,generators offwind_UK,8835.000000000002,1,UK,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-ac_UK,53550.03003840332,1,UK,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-dc_UK,15730.305985402045,1,UK,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators onwind_UK,434585.1864343916,1,UK,,,WTON,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators ror_UK,3636.175,1,UK,,,HROR,WAT,1.0,0.0,0.0,0.0709677419,0.0709677419,0.0,0.0,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar_UK,14650.184313398013,1,UK,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar rooftop_UK,147406.77675503978,1,UK,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_UK_1,187916.9339019036,1,UK,,,PEME,ELE,0.7,2.25,1.0,0.6,0.6,20.0,6.0,3.5,0.2,0.55,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_UK_2,93958.4669509518,1,UK,,,ALKE,ELE,0.7875000000000001,7.0,4.5,0.175,0.175,100.0,12.5,9.0,0.3,0.575,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_UK_3,46979.2334754759,1,UK,,,SOXE,ELE,0.9624999999999999,14.0,7.0,0.06,0.06,400.0,25.0,15.0,0.4,0.7,2.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_1,0.05330132642132353,1,UK,,,PEFC,HYD,0.7,0.5,1.05,0.6,0.6,30.0,7.5,6.0,0.2,0.44,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_2,0.026650663210661764,1,UK,,,SOFC,HYD,0.75,14.0,7.0,0.075,0.075,300.0,19.0,12.0,0.3,0.54,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_3,0.013325331605330882,1,UK,,,MCFC,HYD,0.7250000000000001,24.0,14.0,0.065,0.065,600.0,31.0,18.0,0.35,0.49,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_4,0.006662665802665441,1,UK,,,PAFC,HYD,0.675,7.0,3.5,0.25,0.25,200.0,15.5,9.0,0.25,0.39,0.5,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_5,0.0033313329013327205,1,UK,,,ALFC,HYD,0.75,4.5,2.25,0.375,0.375,100.0,10.0,6.0,0.3,0.49,100.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_6,0.0016656664506663602,1,UK,,,REFC,HYD,0.675,2.25,1.1,0.25,0.25,60.0,7.5,6.0,0.25,0.44,0.166666667,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_UK_1,0.3774917920037648,1,UK,,,GTUR,HYD,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.6979286075,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_UK_2,0.1887458960018824,1,UK,,,COMC,HYD,0.525,5.0,1.0,0.2482222222,0.2482222222,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_UK_3,0.0943729480009412,1,UK,,,ICEN,HYD,0.49,0.0,0.0,1.0,1.0,,,0.0,0.3,0.49,0.0,0.489795918367347,,,,,,,,,,,,,,,,,,,,
,links Haber-Bosch_UK,1625.497155658251,1,UK,,,HBBS,ELE,0.875,36.0,18.0,0.6,0.6,4000.0,37.5,30.0,0.6,0.6,12.0,0.0,,,,,,,,,,,,,,,,,,,,
,links V2G_UK,282840.9968999999,1,UK,,,BEVS,ELE,0.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,,,,,,,,,1979886.9782999994,0.0,2276.0,0.95,,,,,,,,
,links ammonia cracker_UK,0.22129807190258838,1,UK,,,P2BS,ELE,0.5,24.0,12.0,0.03,0.03,500.0,15.0,17.5,0.35,0.35,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links battery discharger_UK,4056.2766640928958,1,UK,,,BATS,ELE,0.935,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,23527.897910097097,0.0008,5.0,0.935,,,,,,,,
,links methanolisation_UK,4275.569700936554,1,UK,,,P2BS,ELE,0.55,48.0,39.0,0.0225,0.0225,1600.0,18.75,24.0,0.5,0.4,6.0,0.0,,,,,,,,,,,,,,,,,,,,
,links nuclear_UK,5284.163635680796,1,UK,,,STUR,NUC,0.395,8.0,6.0,0.0011953144,0.0011953144,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,,,,,,,,,,,,,,,,,,,,
,links residential rural air heat pump_UK,0.1102092154047847,1,UK,,,ASHP,ELE,1.0,0.175,0.175,0.9,0.9,0.0,,0.0,0.2,1.0,0.166666666666667,0.0,p2h,1.0,0.0,0.3085858031333972,2.8,,,,,,,,,,,,,,,
,links residential rural ground heat pump_UK,2139.277215377526,1,UK,,,GSHP,ELE,1.0,0.125,0.125,0.8,0.8,0.0,,0.0,0.2,1.0,0.25,0.0,p2h,1.0,0.0,7487.4702538213405,3.5,,,,,,,,,,,,,,,
,links residential rural resistive heater_UK,895.5407783571469,1,UK,,,REHE,ELE,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.15,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
